Protein FDR Confidence Combined	Master	Accession	Description	% Coverage	# Peptides	# PSMs	# Unique Peptides	MW in kDa	Gene Symbol	Abundance 1161573	Abundance 1161574	Abundance 1161575	Abundance 1161576	Abundance 1161577	Abundance 1161578																																		
High	Master Protein	O95336	6-phosphogluconolactonase OS=Homo sapiens OX=9606 GN=PGLS PE=1 SV=2	67	10	58	10	27.5	PGLS	1.88E+07	1.39E+07	2.16E+07	1.40E+07	2.13E+07	2.17E+07																																		
High	Master Protein	Q99567	Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2	29	14	57	14	83.5	NUP88	3.14E+07	2.59E+07	3.16E+07	1.47E+07	1.56E+07	1.58E+07																																		
High	Master Protein	O15260	Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3	21	5	57	5	30.4	SURF4	4.94E+07	9.49E+06	4.89E+07	3.74E+07	5.16E+07	4.05E+07																																		
High	Master Protein	Q7Z417	Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1	29	14	57	14	76.1	NUFIP2	9.06E+06	9.68E+06	9.75E+06	7.45E+06	8.11E+06	8.30E+06																																		
High	Master Protein	O95400	CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1	55	11	57	11	37.6	CD2BP2	2.09E+07	2.39E+07	2.20E+07	1.66E+07	1.76E+07	1.74E+07																																		
High	Master Protein	O95361	Tripartite motif-containing protein 16 OS=Homo sapiens OX=9606 GN=TRIM16 PE=1 SV=3	36	15	57	15	63.9	TRIM16	1.93E+07	1.44E+07	1.91E+07	1.60E+07	1.75E+07	2.06E+07																																		
High	Master Protein	Q96NB2	Sideroflexin-2 OS=Homo sapiens OX=9606 GN=SFXN2 PE=1 SV=2	44	12	57	12	36.2	SFXN2	2.51E+07	1.63E+07	2.46E+07	1.87E+07	1.59E+07	1.43E+07																																		
High	Master Protein	Q8N8N7	Prostaglandin reductase 2 OS=Homo sapiens OX=9606 GN=PTGR2 PE=1 SV=1	48	10	57	10	38.5	PTGR2	1.74E+07	4.08E+06	1.53E+07	1.04E+07	1.02E+07	1.41E+07																																		
High	Master Protein	Q9BV20	Methylthioribose-1-phosphate isomerase OS=Homo sapiens OX=9606 GN=MRI1 PE=1 SV=1	51	13	57	13	39.1	MRI1	2.45E+07	1.72E+07	4.16E+07	2.48E+07	1.99E+07	2.50E+07																																		
High	Master Protein	Q969G3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2	37	13	57	13	46.6	SMARCE1	1.39E+07	1.33E+07	1.34E+07	7.71E+06	8.88E+06	8.54E+06																																		
High	Master Protein	Q96M27	Protein PRRC1 OS=Homo sapiens OX=9606 GN=PRRC1 PE=1 SV=1	29	8	57	8	46.7	PRRC1	4.88E+07	2.78E+07	5.38E+07	2.93E+07	2.77E+07	1.93E+07																																		
High	Master Protein	P26440	"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2"	52	14	57	14	46.6	IVD	3.55E+07	2.84E+07	3.84E+07	3.72E+07	3.48E+07	3.78E+07																																		
High	Master Protein	Q9BUP3	Oxidoreductase HTATIP2 OS=Homo sapiens OX=9606 GN=HTATIP2 PE=1 SV=2	41	10	57	10	27	HTATIP2	3.50E+07	3.15E+07	3.09E+07	2.87E+07	2.72E+07	2.94E+07																																		
High	Master Protein	Q9ULU4	Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2	18	16	57	16	131.6	ZMYND8	8.27E+06	6.78E+06	1.02E+07	6.36E+06	4.88E+06	7.34E+06																																		
High	Master Protein	O00507	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y OS=Homo sapiens OX=9606 GN=USP9Y PE=2 SV=2	8	19	57	1	290.9	USP9Y	6.36E+05	1.35E+06	1.47E+06	2.88E+06	1.30E+06	9.98E+05																																		
High	Master Protein	Q05193	Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2	16	12	57	3	97.3	DNM1	1.63E+06	3.07E+06		1.19E+06	7.76E+05	6.37E+05																																		
High	Master Protein	Q9UNS2	COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3	39	11	57	11	47.8	COPS3	2.42E+07	1.83E+07	2.42E+07	1.82E+07	1.62E+07	2.04E+07																																		
High	Master Protein	Q9Y512	Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3	34	11	57	11	51.9	SAMM50	2.56E+07	2.28E+07	2.14E+07	1.81E+07	2.02E+07	1.99E+07																																		
High	Master Protein	Q13242	Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1	39	9	57	9	25.5	SRSF9	5.42E+07	5.60E+07	5.36E+07	4.49E+07	4.59E+07	4.74E+07																																		
High	Master Protein	O43823	A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1	27	12	57	12	76.1	AKAP8	8.45E+06	1.13E+07	1.34E+07	9.04E+06	9.87E+06	1.07E+07																																		
High	Master Protein	P57735	Ras-related protein Rab-25 OS=Homo sapiens OX=9606 GN=RAB25 PE=1 SV=2	46	9	57	8	23.5	RAB25	9.51E+07	9.88E+07	9.43E+07	6.47E+07	7.58E+07	7.63E+07																																		
High	Master Protein	Q4KMP7	TBC1 domain family member 10B OS=Homo sapiens OX=9606 GN=TBC1D10B PE=1 SV=3	25	15	57	15	87.1	TBC1D10B	1.75E+07	1.45E+07	1.76E+07	1.11E+07	8.58E+06	8.69E+06																																		
High	Master Protein	Q8NBJ5	Procollagen galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=COLGALT1 PE=1 SV=1	19	11	57	11	71.6	COLGALT1	1.77E+07	1.19E+07	1.75E+07	1.06E+07	1.28E+07	1.27E+07																																		
High	Master Protein	Q8WWI5	Choline transporter-like protein 1 OS=Homo sapiens OX=9606 GN=SLC44A1 PE=1 SV=1	18	9	57	9	73.3	SLC44A1	1.25E+07	5.75E+06	1.43E+07	1.03E+07	1.22E+07	1.31E+07																																		
High	Master Protein	O95487	Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2	15	12	57	11	137.3	SEC24B	1.27E+07	8.10E+06	1.75E+07	9.98E+06	1.07E+07	9.35E+06																																		
High	Master Protein	P54802	Alpha-N-acetylglucosaminidase OS=Homo sapiens OX=9606 GN=NAGLU PE=1 SV=2	29	14	57	13	82.2	NAGLU	1.46E+07	9.46E+06	1.48E+07	7.69E+06	9.71E+06	9.45E+06																																		
High	Master Protein	Q5VW32	BRO1 domain-containing protein BROX OS=Homo sapiens OX=9606 GN=BROX PE=1 SV=1	41	10	57	10	46.4	BROX	3.22E+07	2.51E+07	3.15E+07	3.31E+07	3.17E+07	2.89E+07																																		
High	Master Protein	Q9UHQ9	NADH-cytochrome b5 reductase 1 OS=Homo sapiens OX=9606 GN=CYB5R1 PE=1 SV=1	39	10	57	10	34.1	CYB5R1	4.12E+07	3.74E+07	4.10E+07	3.77E+07	3.48E+07	3.56E+07																																		
High	Master Protein	Q14684	Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3	23	12	57	12	84.4	RRP1B	1.38E+07	1.14E+07	1.25E+07	1.09E+07	1.06E+07	1.06E+07																																		
High	Master Protein	Q96G23	Ceramide synthase 2 OS=Homo sapiens OX=9606 GN=CERS2 PE=1 SV=1	22	6	57	6	44.8	CERS2	1.00E+08	7.59E+07	7.73E+07	8.10E+07	7.79E+07	7.96E+07																																		
High	Master Protein	Q9H2K8	Serine/threonine-protein kinase TAO3 OS=Homo sapiens OX=9606 GN=TAOK3 PE=1 SV=2	19	16	57	14	105.3	TAOK3	1.23E+07	9.83E+06	9.60E+06	7.79E+06	8.04E+06	1.11E+07																																		
High	Master Protein	O43396	Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3	54	10	57	10	32.2	TXNL1	4.51E+07	3.68E+07	4.91E+07	4.09E+07	3.46E+07	3.86E+07																																		
High	Master Protein	P52294	Importin subunit alpha-5 OS=Homo sapiens OX=9606 GN=KPNA1 PE=1 SV=3	24	10	57	4	60.2	KPNA1	8.76E+06	1.09E+07	9.94E+06	4.30E+06	5.22E+06	5.04E+06																																		
High	Master Protein	O00154	Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3	29	10	57	10	41.8	ACOT7	7.02E+07	5.83E+07	6.27E+07	3.52E+07	2.85E+07	3.17E+07																																		
High	Master Protein	P04424	Argininosuccinate lyase OS=Homo sapiens OX=9606 GN=ASL PE=1 SV=4	31	12	57	12	51.6	ASL	2.33E+07	2.06E+07	2.02E+07	1.44E+07	1.63E+07	1.91E+07																																		
High	Master Protein	Q8IYI6	Exocyst complex component 8 OS=Homo sapiens OX=9606 GN=EXOC8 PE=1 SV=2	26	15	57	15	81.7	EXOC8	9.56E+06	9.65E+06	9.23E+06	9.63E+06	8.56E+06	9.89E+06																																		
High	Master Protein	P50579	Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1	33	11	57	11	52.9	METAP2	1.52E+07	1.24E+07	1.68E+07	1.61E+07	1.51E+07	1.85E+07																																		
High	Master Protein	Q96SB4	SRSF protein kinase 1 OS=Homo sapiens OX=9606 GN=SRPK1 PE=1 SV=2	32	15	57	13	74.3	SRPK1	2.28E+07	1.48E+07	2.30E+07	1.38E+07	1.23E+07	1.45E+07																																		
High	Master Protein	Q13907	Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1 PE=1 SV=2	58	10	57	10	26.3	IDI1	3.48E+07	1.05E+07	4.36E+07	1.82E+07	2.59E+07	2.88E+07																																		
High	Master Protein	P61289	Proteasome activator complex subunit 3 OS=Homo sapiens OX=9606 GN=PSME3 PE=1 SV=1	48	9	57	9	29.5	PSME3	2.35E+07	1.70E+07	2.65E+07	1.15E+07	1.95E+07	1.73E+07																																		
High	Master Protein	P30154	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens OX=9606 GN=PPP2R1B PE=1 SV=3	29	11	56	5	66.2	PPP2R1B	2.75E+06	1.04E+06	3.80E+06	1.71E+06	1.89E+06	1.45E+06																																		
High	Master Protein	P13473	Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2	15	6	56	6	44.9	LAMP2	1.10E+08	6.59E+07	1.69E+08	1.59E+08	1.00E+08	1.16E+08																																		
High	Master Protein	Q16850	Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=4	31	11	56	11	57.2	CYP51A1	2.27E+07	1.35E+07	2.42E+07	1.19E+07	1.37E+07	1.50E+07																																		
High	Master Protein	Q86YP4	Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1	33	16	56	14	68	GATAD2A	2.03E+07	2.36E+07	2.01E+07	1.22E+07	1.21E+07	1.31E+07																																		
High	Master Protein	P04183	"Thymidine kinase, cytosolic OS=Homo sapiens OX=9606 GN=TK1 PE=1 SV=2"	50	9	56	9	25.5	TK1	2.49E+07	1.18E+07	2.17E+07	1.23E+07	1.28E+07	1.17E+07																																		
High	Master Protein	P50914	60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4	27	6	56	6	23.4	RPL14	2.13E+08	1.12E+08	2.22E+08	1.08E+08	1.35E+08	1.35E+08																																		
High	Master Protein	Q14165	Malectin OS=Homo sapiens OX=9606 GN=MLEC PE=1 SV=1	40	11	56	11	32.2	MLEC	3.46E+07	3.04E+07	3.28E+07	3.25E+07	3.24E+07	3.75E+07																																		
High	Master Protein	Q9P0L0	Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3	49	11	56	10	27.9	VAPA	5.76E+07	4.71E+07	4.16E+07	3.14E+07	3.02E+07	3.70E+07																																		
High	Master Protein	Q9UI08	Ena/VASP-like protein OS=Homo sapiens OX=9606 GN=EVL PE=1 SV=2	47	16	56	16	44.6	EVL	1.95E+07	1.40E+07	1.73E+07	2.93E+06	2.52E+06	2.42E+06																																		
High	Master Protein	P16278	Beta-galactosidase OS=Homo sapiens OX=9606 GN=GLB1 PE=1 SV=2	29	13	56	13	76	GLB1	3.75E+07	2.30E+07	4.80E+07	4.87E+07	3.27E+07	5.32E+07																																		
High	Master Protein	Q15814	Tubulin-specific chaperone C OS=Homo sapiens OX=9606 GN=TBCC PE=1 SV=2	51	13	56	13	39.2	TBCC	1.79E+07	1.49E+07	1.79E+07	1.26E+07	1.28E+07	1.21E+07																																		
High	Master Protein	O14656	Torsin-1A OS=Homo sapiens OX=9606 GN=TOR1A PE=1 SV=1	48	12	56	11	37.8	TOR1A	3.82E+07	2.29E+07	3.56E+07	1.85E+07	1.99E+07	2.39E+07																																		
High	Master Protein	O43264	Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=3	28	15	56	15	88.8	ZW10	1.53E+07	1.55E+07	1.46E+07	1.18E+07	1.34E+07	1.21E+07																																		
High	Master Protein	Q9UFC0	Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=LRWD1 PE=1 SV=2	28	11	56	11	70.8	LRWD1	1.30E+07	1.10E+07	1.37E+07	7.42E+06	7.61E+06	9.12E+06																																		
High	Master Protein	Q9BT78	COP9 signalosome complex subunit 4 OS=Homo sapiens OX=9606 GN=COPS4 PE=1 SV=1	37	11	56	11	46.2	COPS4	1.71E+07	1.39E+07	2.73E+07	1.18E+07	1.32E+07	1.62E+07																																		
High	Master Protein	P17931	Galectin-3 OS=Homo sapiens OX=9606 GN=LGALS3 PE=1 SV=5	31	7	56	7	26.1	LGALS3	1.70E+08	1.39E+08	1.88E+08	1.73E+08	1.74E+08	2.35E+08																																		
High	Master Protein	Q9H6T0	Epithelial splicing regulatory protein 2 OS=Homo sapiens OX=9606 GN=ESRP2 PE=1 SV=1	31	12	56	11	78.4	ESRP2	7.15E+06	8.07E+06	8.82E+06	1.00E+07	8.22E+06	6.21E+06																																		
High	Master Protein	Q9H3P2	Negative elongation factor A OS=Homo sapiens OX=9606 GN=NELFA PE=1 SV=3	35	11	56	11	57.2	NELFA	2.02E+07	1.70E+07	2.34E+07	1.31E+07	1.67E+07	1.30E+07																																		
High	Master Protein	O14975	Very long-chain acyl-CoA synthetase OS=Homo sapiens OX=9606 GN=SLC27A2 PE=1 SV=2	30	12	56	12	70.3	SLC27A2	1.14E+07	6.66E+06	1.09E+07	2.62E+07	2.82E+07	3.00E+07																																		
High	Master Protein	Q14558	Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Homo sapiens OX=9606 GN=PRPSAP1 PE=1 SV=2	39	9	56	7	39.4	PRPSAP1	1.88E+07	1.08E+07	1.99E+07	1.54E+07	1.26E+07	1.40E+07																																		
High	Master Protein	P40937	Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1	47	11	56	11	38.5	RFC5	2.44E+07	1.41E+07	2.46E+07	1.65E+07	1.86E+07	1.38E+07																																		
High	Master Protein	P30837	"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=4"	33	11	56	11	57.2	ALDH1B1	1.46E+07	9.99E+06	1.39E+07	1.40E+07	9.96E+06	1.22E+07																																		
High	Master Protein	O75223	Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1	67	9	56	9	21	GGCT	6.83E+07	7.10E+07	7.84E+07	6.04E+07	6.74E+07	7.02E+07																																		
High	Master Protein	Q12979	Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=2	26	14	55	13	97.5	ABR	1.25E+07	9.49E+06	1.20E+07	8.47E+06	1.07E+07	8.65E+06																																		
High	Master Protein	Q8WVV9	Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens OX=9606 GN=HNRNPLL PE=1 SV=1	38	12	55	12	60	HNRNPLL	1.24E+07	1.39E+07	1.46E+07	1.07E+07	1.13E+07	1.25E+07																																		
High	Master Protein	Q9Y606	tRNA pseudouridine synthase A OS=Homo sapiens OX=9606 GN=PUS1 PE=1 SV=3	35	12	55	12	47.4	PUS1	2.50E+07	2.06E+07	3.52E+07	2.47E+07	2.01E+07	2.55E+07																																		
High	Master Protein	Q8WZA9	Immunity-related GTPase family Q protein OS=Homo sapiens OX=9606 GN=IRGQ PE=1 SV=1	38	13	55	13	62.7	IRGQ	1.02E+07	7.08E+06	1.04E+07	5.06E+06	5.87E+06	6.26E+06																																		
High	Master Protein	Q9UL15	BAG family molecular chaperone regulator 5 OS=Homo sapiens OX=9606 GN=BAG5 PE=1 SV=1	39	11	55	11	51.2	BAG5	1.55E+07	7.02E+06	1.89E+07	1.79E+07	1.65E+07	1.48E+07																																		
High	Master Protein	P51648	Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1	30	13	55	13	54.8	ALDH3A2	2.32E+07	1.94E+07	1.86E+07	1.54E+07	1.49E+07	1.58E+07																																		
High	Master Protein	Q8N6C5	Immunoglobulin superfamily member 1 OS=Homo sapiens OX=9606 GN=IGSF1 PE=1 SV=3	15	11	55	11	148.8	IGSF1	1.76E+07	1.15E+07	1.57E+07	3.08E+07	2.94E+07	2.87E+07																																		
High	Master Protein	Q8NFW8	N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2	37	13	55	13	48.3	CMAS	1.30E+07	1.25E+07	1.37E+07	1.42E+07	1.44E+07	1.38E+07																																		
High	Master Protein	O75822	Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=2	57	12	55	12	29	EIF3J	2.39E+07	2.19E+07	2.11E+07	2.20E+07	2.26E+07	2.41E+07																																		
High	Master Protein	Q96RT1	Erbin OS=Homo sapiens OX=9606 GN=ERBIN PE=1 SV=2	11	12	55	12	158.2	ERBIN	1.52E+07	1.35E+07	1.66E+07	1.47E+07	1.42E+07	1.38E+07																																		
High	Master Protein	Q7Z7H5	Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TMED4 PE=1 SV=1	43	9	55	7	25.9	TMED4	2.88E+07	2.94E+07	2.57E+07	2.94E+07	2.13E+07	2.54E+07																																		
High	Master Protein	O43488	Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3	38	10	55	10	39.6	AKR7A2	6.70E+07	5.25E+07	6.26E+07	5.25E+07	5.20E+07	6.59E+07																																		
High	Master Protein	O15254	Peroxisomal acyl-coenzyme A oxidase 3 OS=Homo sapiens OX=9606 GN=ACOX3 PE=1 SV=2	34	14	55	14	77.6	ACOX3	1.15E+07	6.35E+06	1.55E+07	1.19E+07	1.08E+07	9.88E+06																																		
High	Master Protein	O60306	RNA helicase aquarius OS=Homo sapiens OX=9606 GN=AQR PE=1 SV=4	13	13	55	13	171.2	AQR	1.01E+07	4.82E+06	1.45E+07	8.61E+06	1.03E+07	8.10E+06																																		
High	Master Protein	P17655	Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6	38	19	55	19	79.9	CAPN2	4.46E+06	2.92E+06	4.77E+06	1.61E+07	1.98E+07	1.75E+07																																		
High	Master Protein	O75190	DnaJ homolog subfamily B member 6 OS=Homo sapiens OX=9606 GN=DNAJB6 PE=1 SV=2	40	12	55	11	36.1	DNAJB6	1.62E+07	1.54E+07	1.88E+07	1.14E+07	1.13E+07	1.18E+07																																		
High	Master Protein	O43493	Trans-Golgi network integral membrane protein 2 OS=Homo sapiens OX=9606 GN=TGOLN2 PE=1 SV=4	32	12	55	12	45.9	TGOLN2	6.14E+06	6.34E+06	6.97E+06	4.93E+06	5.27E+06	5.77E+06																																		
High	Master Protein	Q9NQG5	Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens OX=9606 GN=RPRD1B PE=1 SV=1	48	11	55	8	36.9	RPRD1B	3.66E+07	1.78E+07	3.06E+07	1.80E+07	2.22E+07	2.46E+07																																		
High	Master Protein	Q9NY27	Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PPP4R2 PE=1 SV=3	47	12	55	12	46.9	PPP4R2	8.94E+06	1.08E+07	1.09E+07	7.96E+06	7.78E+06	8.15E+06																																		
High	Master Protein	P08236	Beta-glucuronidase OS=Homo sapiens OX=9606 GN=GUSB PE=1 SV=2	28	12	55	12	74.7	GUSB	2.01E+07	1.36E+07	1.90E+07	2.51E+07	2.04E+07	2.14E+07																																		
High	Master Protein	P35080	Profilin-2 OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=3	61	7	55	7	15	PFN2	6.50E+07	6.03E+07	6.63E+07	4.61E+07	4.85E+07	4.68E+07																																		
High	Master Protein	Q15691	Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3	51	11	55	9	30	MAPRE1	3.86E+07	2.48E+07	3.89E+07	1.79E+07	2.19E+07	2.45E+07																																		
High	Master Protein	O14497	AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3	12	18	55	17	241.9	ARID1A	1.53E+07	1.56E+07	1.46E+07	8.55E+06	9.65E+06	1.04E+07																																		
High	Master Protein	Q6IBS0	Twinfilin-2 OS=Homo sapiens OX=9606 GN=TWF2 PE=1 SV=2	49	13	55	12	39.5	TWF2	2.29E+07	2.31E+07	2.18E+07	1.10E+07	9.80E+06	1.31E+07																																		
High	Master Protein	O60684	Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1	32	12	55	6	60	KPNA6	2.38E+07	2.08E+07	2.22E+07	1.61E+07	1.69E+07	1.74E+07																																		
High	Master Protein	P04083	Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2	51	13	55	13	38.7	ANXA1	9.92E+06	7.93E+06	1.43E+07	2.94E+07	3.06E+07	3.02E+07																																		
High	Master Protein	P61020	Ras-related protein Rab-5B OS=Homo sapiens OX=9606 GN=RAB5B PE=1 SV=1	48	8	55	5	23.7	RAB5B	2.14E+07	1.30E+07	1.76E+07	1.87E+07	1.60E+07	1.45E+07																																		
High	Master Protein	P22694	cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens OX=9606 GN=PRKACB PE=1 SV=2	36	12	55	2	40.6	PRKACB	2.54E+06	4.20E+05	3.07E+06	1.18E+06	7.88E+05	1.41E+06																																		
High	Master Protein	Q9UHD2	Serine/threonine-protein kinase TBK1 OS=Homo sapiens OX=9606 GN=TBK1 PE=1 SV=1	23	11	55	11	83.6	TBK1	9.34E+06	9.90E+06	9.36E+06	9.32E+06	7.22E+06	7.31E+06																																		
High	Master Protein	Q8NC56	LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LEMD2 PE=1 SV=1	30	12	55	12	56.9	LEMD2	1.56E+07	1.26E+07	1.20E+07	1.32E+07	1.15E+07	1.23E+07																																		
High	Master Protein	P27635	60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=5	33	7	55	7	24.6	RPL10	1.02E+08	8.45E+07	9.84E+07	6.05E+07	8.52E+07	9.71E+07																																		
High	Master Protein	Q9GZL7	Ribosome biogenesis protein WDR12 OS=Homo sapiens OX=9606 GN=WDR12 PE=1 SV=2	38	11	55	11	47.7	WDR12	1.72E+07	1.31E+07	1.64E+07	1.17E+07	8.08E+06	1.06E+07																																		
High	Master Protein	P31483	Cytotoxic granule associated RNA binding protein TIA1 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=3	39	11	55	8	42.9	TIA1	3.02E+07	2.35E+07	3.43E+07	2.39E+07	2.34E+07	2.49E+07																																		
High	Master Protein	P48556	26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMD8 PE=1 SV=2	41	11	54	11	39.6	PSMD8	4.36E+07	4.02E+07	5.13E+07	4.19E+07	3.60E+07	3.69E+07																																		
High	Master Protein	Q99961	Endophilin-A2 OS=Homo sapiens OX=9606 GN=SH3GL1 PE=1 SV=1	42	12	54	9	41.5	SH3GL1	1.97E+07	1.81E+07	2.70E+07	2.27E+07	2.26E+07	2.51E+07																																		
High	Master Protein	Q13630	GDP-L-fucose synthase OS=Homo sapiens OX=9606 GN=GFUS PE=1 SV=1	44	10	54	10	35.9	GFUS	4.14E+07	3.92E+07	4.58E+07	3.38E+07	3.10E+07	3.59E+07																																		
High	Master Protein	P09012	U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3	34	8	54	8	31.3	SNRPA	3.45E+07	3.54E+07	3.41E+07	2.96E+07	2.87E+07	3.02E+07																																		
